FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.14638247,14638247,POINT (16.354611312426396 48.145925169957586),Jochen-Rindt-Straße (Kolbegasse),Jochen-Rindt-Straße (Kolbegasse),"16A,17A,66A,67A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Jochen-Rindt-Straße&start=1,
OEFFHALTESTOGD.14638248,14638248,POINT (16.354611312426396 48.145925169957586),Jochen-Rindt-Straße (Kolbegasse),Jochen-Rindt-Straße (Kolbegasse),"16A,17A,66A,67A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Jochen-Rindt-Straße&start=1,
OEFFHALTESTOGD.14638249,14638249,POINT (16.311402312389795 48.149856969535485),Mühlbreiten,Mühlbreiten,"60A,64A,66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Mühlbreiten&start=1,
OEFFHALTESTOGD.14638250,14638250,POINT (16.311402312389795 48.149856969535485),Mühlbreiten,Mühlbreiten,"60A,64A,66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Mühlbreiten&start=1,
OEFFHALTESTOGD.14638251,14638251,POINT (16.310477112887472 48.1491737696296),Mühlbreiten,Mühlbreiten,"60A,64A,66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Mühlbreiten&start=1,
OEFFHALTESTOGD.14638252,14638252,POINT (16.310477112887472 48.1491737696296),Mühlbreiten,Mühlbreiten,"60A,64A,66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Mühlbreiten&start=1,
OEFFHALTESTOGD.14638253,14638253,POINT (16.28202741267423 48.138276469422216),Mehlführergasse,Mehlführergasse,"66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Mehlführergasse&start=1,
OEFFHALTESTOGD.14638254,14638254,POINT (16.28202741267423 48.138276469422216),Mehlführergasse,Mehlführergasse,"66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Mehlführergasse&start=1,
OEFFHALTESTOGD.14638255,14638255,POINT (16.293642612775965 48.145331769906754),Knotzenbachgasse,Knotzenbachgasse,"66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Knotzenbachgasse&start=1,
OEFFHALTESTOGD.14638256,14638256,POINT (16.293642612775965 48.145331769906754),Knotzenbachgasse,Knotzenbachgasse,"66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Knotzenbachgasse&start=1,
OEFFHALTESTOGD.14638257,14638257,POINT (16.360064112126324 48.144522569707554),Kolbegasse,Kolbegasse,"16A,17A,66A,67A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Kolbegasse&start=1,
OEFFHALTESTOGD.14638258,14638258,POINT (16.360064112126324 48.144522569707554),Kolbegasse,Kolbegasse,"16A,17A,66A,67A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Kolbegasse&start=1,
OEFFHALTESTOGD.14638259,14638259,POINT (16.366774512805122 48.160931669587484),Kornauthgasse,Kornauthgasse,"66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Kornauthgasse&start=1,
OEFFHALTESTOGD.14638260,14638260,POINT (16.366774512805122 48.160931669587484),Kornauthgasse,Kornauthgasse,"66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Kornauthgasse&start=1,
OEFFHALTESTOGD.14638261,14638261,POINT (16.37046651260116 48.168541069570935),Laxenburger Straße/Troststraße,Laxenburger Straße/Troststraße,"120,200,210,66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Laxenburger%20Straße/Troststraße&start=1,
OEFFHALTESTOGD.14638262,14638262,POINT (16.37046651260116 48.168541069570935),Laxenburger Straße/Troststraße,Laxenburger Straße/Troststraße,"120,200,210,66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Laxenburger%20Straße/Troststraße&start=1,
OEFFHALTESTOGD.14638263,14638263,POINT (16.370143212922894 48.16862496957922),Laxenburger Straße/Troststraße,Laxenburger Straße/Troststraße,"120,200,210,66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Laxenburger%20Straße/Troststraße&start=1,
OEFFHALTESTOGD.14638264,14638264,POINT (16.370143212922894 48.16862496957922),Laxenburger Straße/Troststraße,Laxenburger Straße/Troststraße,"120,200,210,66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Laxenburger%20Straße/Troststraße&start=1,
